cod	c02	c04	tent	tsal	c03	fecha
7	39.94	39.06	30.31	30.38	39.94	2014-06-06 11:38:56
8	39.81	38.94	30.19	30.38	39.81	2014-06-06 11:39:57
9	39.69	38.88	30.19	30.38	39.69	2014-06-06 11:40:57
10	39.56	38.75	30.19	30.44	39.56	2014-06-06 11:41:58
11	39.44	38.69	30.13	30.44	39.44	2014-06-06 11:42:59
12	39.31	38.56	30	30.44	39.31	2014-06-06 11:43:59
13	39.25	38.44	29.88	30.5	39.25	2014-06-06 11:45:00
14	39.13	38.38	29.88	30.44	39.13	2014-06-06 11:46:01
15	39	38.25	29.94	30.38	39	2014-06-06 11:47:01
16	38.88	38.19	29.88	30.38	38.88	2014-06-06 11:48:02
17	38.81	38.06	29.75	30.38	38.81	2014-06-06 11:49:03
18	38.69	38	29.75	30.31	38.69	2014-06-06 11:50:03
19	38.56	37.88	29.75	30.31	38.63	2014-06-06 11:51:04
20	38.5	37.81	29.81	30.25	38.5	2014-06-06 11:52:05
21	38.38	37.69	29.75	30.25	38.38	2014-06-06 11:53:05
22	38.31	37.63	29.63	30.25	38.31	2014-06-06 11:54:06
23	38.19	37.5	29.69	30.19	38.19	2014-06-06 11:55:07
24	38.06	37.44	29.69	30.13	38.06	2014-06-06 11:56:07
25	38	37.31	29.63	30.06	38	2014-06-06 11:57:08
26	37.88	37.25	29.63	30.13	37.88	2014-06-06 11:58:09
27	37.75	37.19	29.56	30.13	37.81	2014-06-06 11:59:09
28	37.69	37.13	29.56	30.06	37.75	2014-06-06 12:00:10
29	37.56	37	29.56	30.06	37.63	2014-06-06 12:01:11
30	37.44	36.94	29.75	30.06	37.56	2014-06-06 12:02:11
31	37.31	36.88	29.69	30.06	37.44	2014-06-06 12:03:12
32	37.25	36.81	29.69	30	37.38	2014-06-06 12:04:13
33	37.13	36.75	29.69	29.94	37.25	2014-06-06 12:05:13
34	37.06	36.63	29.75	29.94	37.19	2014-06-06 12:06:14
35	37	36.5	29.69	29.81	37.06	2014-06-06 12:07:15
36	36.94	36.44	29.75	29.81	36.94	2014-06-06 12:08:15
37	36.81	36.38	29.75	29.75	36.88	2014-06-06 12:09:16
38	36.75	36.25	29.63	29.75	36.81	2014-06-06 12:10:16
39	36.63	36.13	29.63	29.69	36.69	2014-06-06 12:11:17
40	36.56	36.06	29.75	29.75	36.63	2014-06-06 12:12:18
41	36.5	36	29.88	29.81	36.56	2014-06-06 12:13:18
42	36.44	36	29.94	29.88	36.5	2014-06-06 12:14:19
43	36.31	35.88	29.94	29.81	36.38	2014-06-06 12:15:20
44	36.25	35.75	29.75	29.94	36.25	2014-06-06 12:16:20
45	36.13	35.69	29.69	29.94	36.19	2014-06-06 12:17:21
46	36.06	35.63	29.63	29.81	36.13	2014-06-06 12:18:22
47	36	35.56	29.69	29.75	36.06	2014-06-06 12:19:22
48	35.88	35.5	29.63	29.69	35.94	2014-06-06 12:20:23
49	35.56	35.44	29.63	29.63	35.88	2014-06-06 12:21:24
50	35.38	35.38	29.69	29.63	35.81	2014-06-06 12:22:24
51	35.38	35.31	29.69	29.63	35.75	2014-06-06 12:23:25
52	35.38	35.25	29.75	29.63	35.63	2014-06-06 12:24:25
53	35.25	35.19	29.75	29.69	35.56	2014-06-06 12:25:26
54	35.19	35.06	29.69	29.69	35.5	2014-06-06 12:26:27
55	35.13	35	29.63	29.56	35.38	2014-06-06 12:27:27
56	35.13	34.94	29.56	29.56	35.31	2014-06-06 12:28:28
57	35	34.88	29.56	29.5	35.25	2014-06-06 12:29:29
58	34.69	34.69	29.44	29.38	34.94	2014-06-06 12:30:29
59	34.44	34.44	29	28.94	34.63	2014-06-06 12:31:30
60	34.38	34.25	28.81	28.75	34.56	2014-06-06 12:32:31
61	34.31	34.19	28.69	28.69	34.5	2014-06-06 12:33:31
62	34.31	34.19	28.5	28.63	34.5	2014-06-06 12:34:32
63	34.25	34.19	28.5	28.63	34.44	2014-06-06 12:35:33
64	34.25	34.13	28.56	28.63	34.44	2014-06-06 12:36:33
65	34.19	34.13	28.56	28.63	34.38	2014-06-06 12:37:34
66	34.19	34.06	28.56	28.69	34.38	2014-06-06 12:38:35
67	34.19	34.06	28.56	28.69	34.31	2014-06-06 12:39:35
68	34.13	34	28.63	28.69	34.31	2014-06-06 12:40:36
69	34.06	34	28.63	28.69	34.25	2014-06-06 12:41:36
70	34.06	34	28.63	28.69	34.19	2014-06-06 12:42:37
71	34	33.94	28.63	28.69	34.13	2014-06-06 12:43:38
72	34	33.94	28.63	28.63	34.13	2014-06-06 12:44:38
73	33.94	33.88	28.56	28.56	34.06	2014-06-06 12:45:39
74	33.88	33.81	28.63	28.63	34	2014-06-06 12:46:40
75	33.88	33.75	28.56	28.56	33.94	2014-06-06 12:47:40
76	33.81	33.75	28.56	28.56	33.94	2014-06-06 12:48:41
77	33.75	33.69	28.56	28.56	33.88	2014-06-06 12:49:42
78	33.69	33.69	28.56	28.56	33.81	2014-06-06 12:50:42
79	33.69	33.63	28.5	28.63	33.81	2014-06-06 12:51:43
80	33.63	33.56	28.5	28.63	33.75	2014-06-06 12:52:44
81	33.56	33.5	28.44	28.63	33.63	2014-06-06 12:53:44
82	33.38	33.94	28.25	28.38	33.69	2014-06-06 12:54:45
83	33.19	34.25	27.88	28	33.75	2014-06-06 12:55:46
84	33.13	34.56	27.63	27.69	33.81	2014-06-06 12:56:46
85	33	34.88	27.44	27.38	33.88	2014-06-06 12:57:47
86	33	35.19	27.25	27.19	33.88	2014-06-06 12:58:48
87	32.94	35.38	27.06	27	33.94	2014-06-06 12:59:48
88	32.88	35.56	26.94	26.88	34	2014-06-06 13:00:49
89	32.88	35.75	26.81	26.81	34	2014-06-06 13:01:50
90	32.94	35.94	26.81	26.75	34	2014-06-06 13:02:50
91	32.88	36.06	26.75	26.63	34.06	2014-06-06 13:03:51
92	32.81	36.19	26.81	26.63	34.06	2014-06-06 13:04:51
93	32.88	36.25	26.81	26.63	34.13	2014-06-06 13:05:52
94	33.44	36.31	26.75	26.56	34.19	2014-06-06 13:06:53
95	34.25	36.38	26.75	26.56	34.25	2014-06-06 13:07:53
96	34.75	36.44	26.69	26.56	34.25	2014-06-06 13:08:54
97	35.06	36.5	26.63	26.5	34.25	2014-06-06 13:09:55
98	35.19	36.63	26.56	26.44	34.31	2014-06-06 13:10:55
99	35.06	36.69	26.5	26.38	34.38	2014-06-06 13:11:56
100	34.5	36.75	26.38	26.31	34.44	2014-06-06 13:12:57
101	34.13	36.88	26.25	26.31	34.5	2014-06-06 13:13:58
102	33.88	36.94	26.19	26.31	34.56	2014-06-06 13:14:58
