cod	c02	c04	tent	tsal	c03	fecha
4	30.19	30.19	26.38	26.38	30.19	2014-06-09 16:39:28
5	30.13	30.19	26.38	26.38	30.19	2014-06-09 16:40:28
6	30.13	30.19	26.38	26.38	30.13	2014-06-09 16:41:27
7	30.13	30.13	26.38	26.38	30.13	2014-06-09 16:42:27
8	30.13	30.13	26.44	26.38	30.13	2014-06-09 16:43:27
9	30.13	30.13	26.38	26.38	30.13	2014-06-09 16:44:27
10	30.75	30.69	26.44	26.38	30.13	2014-06-09 16:45:26
11	31	31.13	26.44	26.38	30.13	2014-06-09 16:46:26
12	31.13	31.5	26.38	26.38	30.13	2014-06-09 16:47:26
13	31.25	31.81	26.44	26.38	30.13	2014-06-09 16:48:26
14	31.31	32.13	26.38	26.38	30.13	2014-06-09 16:49:25
15	31.44	32.38	26.5	26.44	30.19	2014-06-09 16:50:25
16	31.5	32.63	26.5	26.44	30.19	2014-06-09 16:51:25
17	31.56	32.81	26.5	26.44	30.25	2014-06-09 16:52:24
18	31.63	33	26.5	26.44	30.31	2014-06-09 16:53:24
19	31.69	33.19	26.5	26.5	30.31	2014-06-09 16:54:24
20	31.75	33.31	26.5	26.5	30.38	2014-06-09 16:55:24
21	32.06	33.75	26.56	26.5	30.44	2014-06-09 16:56:23
22	32.13	34.06	26.5	26.5	30.44	2014-06-09 16:57:23
23	32.06	34.13	26.56	26.5	30.5	2014-06-09 16:58:23
24	32.06	34.19	26.56	26.5	30.56	2014-06-09 16:59:23
25	32.13	34.25	26.56	26.5	30.63	2014-06-09 17:00:22
26	32.13	34.25	26.56	26.56	30.69	2014-06-09 17:01:22
27	32.19	34.31	26.56	26.56	30.69	2014-06-09 17:02:22
28	32.19	34.38	26.56	26.56	30.81	2014-06-09 17:03:22
29	32.25	34.38	26.56	26.56	30.81	2014-06-09 17:04:21
30	32.31	34.44	26.63	26.56	30.88	2014-06-09 17:05:21
31	32.31	34.5	26.63	26.63	30.94	2014-06-09 17:06:21
32	32.38	34.5	26.63	26.63	31	2014-06-09 17:07:21
33	32.44	34.56	26.63	26.63	31.06	2014-06-09 17:08:20
34	32.44	34.56	26.63	26.63	31.06	2014-06-09 17:09:20
35	32.5	34.63	26.56	26.63	31.13	2014-06-09 17:10:20
36	32.56	34.63	26.56	26.63	31.19	2014-06-09 17:11:19
37	32.69	34.94	26.63	26.63	31.25	2014-06-09 17:12:19
38	32.88	35.19	26.63	26.63	31.25	2014-06-09 17:13:19
39	32.81	35.19	26.56	26.56	31.31	2014-06-09 17:14:19
40	32.81	35.19	26.56	26.63	31.38	2014-06-09 17:15:18
41	32.88	35.19	26.63	26.63	31.44	2014-06-09 17:16:18
42	32.88	35.19	26.56	26.63	31.5	2014-06-09 17:17:18
43	32.88	35.19	26.63	26.63	31.5	2014-06-09 17:18:18
44	32.94	35.19	26.63	26.63	31.56	2014-06-09 17:19:17
45	33.19	35.19	26.63	26.63	31.63	2014-06-09 17:20:17
46	33.31	35.25	26.69	26.69	31.63	2014-06-09 17:21:17
47	33.25	35.25	26.69	26.69	31.69	2014-06-09 17:22:17
48	33.19	35.31	26.75	26.69	31.75	2014-06-09 17:23:16
49	33.19	35.31	26.81	26.75	31.75	2014-06-09 17:24:16
50	33.19	35.38	26.75	26.75	31.81	2014-06-09 17:25:16
51	33.25	35.38	26.75	26.69	31.88	2014-06-09 17:26:15
52	33.25	35.44	26.75	26.69	31.88	2014-06-09 17:27:15
53	33.31	35.44	26.69	26.69	31.94	2014-06-09 17:28:15
54	33.31	35.5	26.75	26.75	32	2014-06-09 17:29:15
55	33.31	35.56	26.75	26.69	32.06	2014-06-09 17:30:14
56	33.38	35.63	26.75	26.69	32.06	2014-06-09 17:31:14
57	33.38	35.63	26.69	26.69	32.06	2014-06-09 17:32:14
58	33.44	35.69	26.75	26.75	32.13	2014-06-09 17:33:14
59	33.44	36.13	26.69	26.69	32.19	2014-06-09 17:34:13
60	33.5	36.19	26.75	26.69	32.25	2014-06-09 17:35:13
61	33.5	36.19	26.75	26.69	32.25	2014-06-09 17:36:13
62	33.56	36.19	26.75	26.75	32.25	2014-06-09 17:37:13
63	33.56	36.19	26.75	26.75	32.31	2014-06-09 17:38:12
64	33.63	36.13	26.75	26.75	32.31	2014-06-09 17:39:12
65	33.63	36.13	26.75	26.75	32.38	2014-06-09 17:40:12
66	33.63	36.44	26.75	26.75	32.38	2014-06-09 17:41:12
67	33.69	36.56	26.75	26.75	32.44	2014-06-09 17:42:11
68	33.75	36.5	26.81	26.81	32.44	2014-06-09 17:43:11
69	33.75	36.5	26.81	26.81	32.5	2014-06-09 17:44:11
70	33.75	36.5	26.88	26.88	32.56	2014-06-09 17:45:10
71	33.81	36.44	26.88	26.81	32.56	2014-06-09 17:46:10
72	33.81	36.44	26.81	26.81	32.56	2014-06-09 17:47:10
73	33.88	36.38	26.81	26.81	32.63	2014-06-09 17:48:10
74	33.88	36.38	26.75	26.75	32.69	2014-06-09 17:49:09
